spotify_id,name,artists,country,popularity,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,speechiness,acousticness,liveness,valence,tempo,spotify_url,mood
4P49dOJLCHJh0HPYorW5IF,L NAMA,"Huan62, Lil Naay, Dowba Montana",DO,64,133120,L NAMA,6/1/2025,0.556,0.678,2,-9.667,0.339,0.259,0.107,0.485,109.932,https://open.spotify.com/track/4P49dOJLCHJh0HPYorW5IF,energetic
0CB6xCaGU5kbB4fz6BygLe,Rubby Perez,La Respuesta,DO,22,218880,Homenaje Rubby Perez,10/4/2025,0.761,0.705,0,-8.959,0.0372,0.0389,0.328,0.76,90.031,https://open.spotify.com/track/0CB6xCaGU5kbB4fz6BygLe,energetic
2NKe3jG4Tsdarixp87OnCE,Pa Tripea,"Lil Naay, Huan62",DO,66,133669,Pa Tripea,16/9/2024,0.771,0.536,10,-11.148,0.103,0.061,0.318,0.393,100.953,https://open.spotify.com/track/2NKe3jG4Tsdarixp87OnCE,energetic
1ILjmBTvFF3ExlByvAycOZ,De Regalo,"Shadow Blow, Lil Naay, 212MUSIC",DO,63,122500,De Regalo,18/12/2024,0.602,0.679,0,-7.078,0.314,0.0461,0.139,0.539,127.545,https://open.spotify.com/track/1ILjmBTvFF3ExlByvAycOZ,energetic
3D9d0PEHfC9PqQAwKKljDv,Suave,"Jey One, OG DETRUYELO",DO,58,150000,Suave,29/3/2025,0.867,0.77,2,-6.032,0.187,0.00478,0.396,0.707,128.067,https://open.spotify.com/track/3D9d0PEHfC9PqQAwKKljDv,energetic
4kTcJQj1drXzf0pkylO4AJ,DE LA CALLE,"Huan62, Lil Naay, Carlos Trvp, Little Homie",DO,64,232124,DE LA CALLE,12/8/2024,0.708,0.713,3,-8.826,0.21,0.233,0.298,0.671,110.079,https://open.spotify.com/track/4kTcJQj1drXzf0pkylO4AJ,energetic
63eveao20g2PIDRXVIeF7e,MAMI,Lil Naay,DO,56,105116,MAMI,16/1/2025,0.54,0.573,10,-8.255,0.144,0.258,0.745,0.31,127.108,https://open.spotify.com/track/63eveao20g2PIDRXVIeF7e,energetic
4EmOvfpI6RsyNk4qRGVZxJ,Natural,"Little Homie, Huan62",DO,78,153837,Natural,2/1/2025,0.779,0.771,0,-5.602,0.142,0.0484,0.112,0.232,99.99,https://open.spotify.com/track/4EmOvfpI6RsyNk4qRGVZxJ,energetic
4fk9Ufhqn1jllnTSddki62,A 200,"Keyviem, Carlos Trvp, Lil Naay, Little Homie",DO,62,246734,A 200,13/12/2024,0.52,0.568,7,-10.093,0.327,0.648,0.261,0.514,98.385,https://open.spotify.com/track/4fk9Ufhqn1jllnTSddki62,energetic
1a8xrk8ZCV9jOZI6RjRIE0,3.5,"Lil Naay, Huan62, Kookies",DO,56,146951,3.5,1/4/2025,0.548,0.559,0,-9.815,0.107,0.773,0.153,0.594,97.795,https://open.spotify.com/track/1a8xrk8ZCV9jOZI6RjRIE0,energetic
